provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
SFE,2,779553,Estatal,Urbano,3,3,467.53854,491.61203,.10748934,2,2,2,1,4,5,CENTRO,1
SFE,2,779554,Estatal,Urbano,4,2,598.62952,422.65802,-.12399404,2,2,2,1,5,5,CENTRO,1
SFE,2,779555,Estatal,Urbano,3,3,462.0032,519.07037,-.38591641,2,2,2,1,7,7,CENTRO,1
SFE,2,779556,Estatal,Urbano,3,3,498.44287,472.38007,-1.3896334,1,2,2,1,5,3,CENTRO,1
SFE,2,779558,Estatal,Urbano,4,3,552.22675,563.19116,-.29441783,2,2,2,1,5,3,CENTRO,1
SFE,2,779559,Estatal,Urbano,4,3,582.98132,522.638,.20145352,2,3,2,2,7,2,CENTRO,1
SFE,2,779560,Estatal,Urbano,4,3,548.38013,475.91724,.043968808,2,2,2,1,5,5,CENTRO,1
SFE,2,779561,Estatal,Urbano,4,3,680.54169,535.50525,.48147395,2,2,2,1,5,4,CENTRO,1
SFE,2,779562,Estatal,Urbano,3,3,531.64716,482.00598,.34512442,2,2,2,1,3,5,CENTRO,1
SFE,2,779563,Estatal,Urbano,3,2,519.61206,414.83466,.089911446,2,2,2,1,5,2,CENTRO,1
SFE,2,779564,Estatal,Urbano,4,3,581.40204,553.79761,-1.5964808,1,2,2,1,4,5,CENTRO,1
SFE,2,779565,Estatal,Urbano,2,2,402.5983,461.64462,-1.2115591,1,2,2,1,2,4,CENTRO,1
SFE,2,779566,Estatal,Urbano,3,1,448.18155,373.50833,.59687847,2,2,2,1,5,5,CENTRO,1
SFE,2,779567,Estatal,Urbano,3,4,537.05981,597.15088,-.61682123,2,2,2,1,3,3,CENTRO,1
SFE,2,779568,Estatal,Urbano,3,3,453.09155,502.80136,.02312457,2,1,2,0,3,3,CENTRO,1
SFE,2,779569,Estatal,Urbano,4,4,574.26965,613.15674,.59687847,2,2,2,1,5,5,CENTRO,1
SFE,2,779570,Estatal,Urbano,1,1,359.74588,353.93213,-.13778028,2,2,2,1,2,2,CENTRO,1
CHA,1,812396,Estatal,Rural,1,3,361.15601,554.79449,-.94553751,2,2,2,1,3,3,NEA,2
CHA,1,812397,Estatal,Rural,1,3,371.52768,540.33734,-1.1571732,1,2,2,1,3,5,NEA,2
CHA,1,812398,Estatal,Rural,2,2,407.79446,436.35062,-2.6164827,1,2,2,1,7,1,NEA,2
CHA,1,805076,Estatal,Rural,1,2,365.30118,415.90369,-.0010891772,2,4,2,3,3,3,NEA,2
CHA,1,805077,Estatal,Rural,2,2,403.2616,407.53949,-.50474566,2,3,2,2,3,3,NEA,2
CHA,1,805078,Estatal,Rural,2,2,409.42026,418.87924,-.36820596,2,4,2,3,3,5,NEA,2
CHA,1,805079,Estatal,Rural,2,1,409.47751,359.87225,-.32976368,2,5,2,4,5,3,NEA,2
SFE,1,772035,Estatal,Urbano,4,2,584.37024,462.55206,.023275957,2,2,2,1,4,4,CENTRO,2
SFE,1,772037,Estatal,Urbano,3,1,501.91522,383.23132,-.85865283,2,2,2,1,2,2,CENTRO,2
SFE,1,772038,Estatal,Urbano,1,2,373.0177,409.80411,-.20797543,2,4,2,3,5,5,CENTRO,2
SFE,1,772039,Estatal,Urbano,2,2,395.58044,455.46591,-.77070689,2,2,-9,1,4,2,CENTRO,2
SFE,1,772040,Estatal,Urbano,3,2,469.62601,437.36374,-.17602941,2,2,1,1,3,3,CENTRO,2
SFE,1,772041,Estatal,Urbano,1,1,388.85818,374.54428,-.88282472,2,2,2,1,4,2,CENTRO,2
SFE,1,772042,Estatal,Urbano,1,1,360.0817,377.16025,-1.5961732,1,2,2,1,2,1,CENTRO,2
SFE,1,772043,Estatal,Urbano,1,1,363.90268,396.00784,-.61291695,2,2,2,1,3,5,CENTRO,2
SFE,1,772044,Estatal,Urbano,2,1,395.51471,370.22668,-1.0349246,2,2,1,1,4,2,CENTRO,2
SFE,1,772045,Estatal,Urbano,3,2,539.46997,464.75357,.19108739,2,2,1,1,3,3,CENTRO,2
SFE,1,772046,Estatal,Urbano,3,2,537.77417,428.17255,.51951277,2,1,2,0,5,7,CENTRO,2
SFE,1,772047,Estatal,Urbano,3,2,455.64102,427.27066,-1.003653,2,4,2,3,3,2,CENTRO,2
SFE,1,772048,Estatal,Urbano,3,3,506.18573,471.17996,.12074084,2,3,2,2,7,5,CENTRO,2
SFE,1,772049,Estatal,Urbano,1,1,371.66754,354.19406,-1.5546373,1,2,2,1,1,1,CENTRO,2
SFE,3,772068,Estatal,Urbano,3,2,468.25888,428.5278,-.56120825,2,2,2,1,3,2,CENTRO,2
SFE,3,772069,Estatal,Urbano,1,1,386.36511,384.12311,-.47332257,2,3,1,2,3,4,CENTRO,2
SFE,3,772071,Estatal,Urbano,2,3,425.50394,474.68082,.11077955,2,2,2,1,7,7,CENTRO,2
SFE,3,772072,Estatal,Urbano,1,2,355.53217,407.41641,-1.9703896,1,2,2,1,1,1,CENTRO,2
SFE,3,772073,Estatal,Urbano,2,1,394.42502,380.74692,-.29501155,2,2,2,1,5,5,CENTRO,2
SFE,3,772074,Estatal,Urbano,3,3,487.06995,495.36722,-1.5536888,1,2,2,1,5,1,CENTRO,2
SFE,3,772075,Estatal,Urbano,1,1,366.54886,396.2825,-.4520539,2,2,2,1,2,5,CENTRO,2
SFE,3,772076,Estatal,Urbano,4,3,654.08905,513.90106,-.16949433,2,3,2,2,4,5,CENTRO,2
SFE,3,772077,Estatal,Urbano,1,2,345.68176,408.56433,-1.1345549,1,2,2,1,2,5,CENTRO,2
SFE,3,772078,Estatal,Urbano,1,1,354.16534,345.30801,.42189646,2,2,2,1,3,5,CENTRO,2
SFE,3,772079,Estatal,Urbano,3,1,451.90927,403.09705,-.79826748,2,2,2,1,2,2,CENTRO,2
SFE,3,772080,Estatal,Urbano,1,1,303.72742,367.71075,-.1549748,2,2,2,1,4,1,CENTRO,2
SFE,3,772081,Estatal,Urbano,2,1,402.41599,402.20767,-.10620576,2,4,2,3,3,4,CENTRO,2
SFE,3,772082,Estatal,Urbano,3,2,498.04883,441.87946,-.66153467,2,2,2,1,5,5,CENTRO,2
